text,label,source
okay i\u2019m sorry but TAYLOR SWIFT LOOKS NOTHING LIKE JACKIE O SO STOP COMPARING THE TWO. c\u2019mon America aren\u2019t you sick of her yet? (sorry) ,negative,sem_eval_2017
@user the DC comics site has Batman 44 releases on the 9th but its out now? ,neutral,sem_eval_2017
"""Frank Gaffrey\u002c Cliff May\u002c Steve Emerson: Brilliant. \""""""""Looming Threats: Iran\u002c Hezbollah Hamas\"""""""" is the best #cufidc session I\u2019ve had thus far."" ",positive,sem_eval_2017
The tragedy of only thinking up hilarious tweets for the Summer Olympics now is that in four years there may be no place for them. ,negative,sem_eval_2017
"""Oliseh meets with Victor Moses in London: Super Eagles coach, Sunday Oliseh, has met with Nigeria and Chelsea ... ",neutral,sem_eval_2017
"""People always forget the fact that Shawn achieved so much in the age of 16 like his 1st single, EP and FIRST album ALL went #1 on charts"" ",positive,sem_eval_2017
it looks like a beautiful night to throw myself off the Brooklyn Bridge ---@Tim_Hecht ,negative,sem_eval_2017
@user WAIT WHAT?!?! SCOTUS makes laws!?!? since when? have i been lied to my entire 8th grade year about gov? (sarcasm intended) ,neutral,sem_eval_2017
"""Winnipeg Sun: """"But make no mistake: Janet Jackson played to win. And did."""" #UnbreakableWinnipeg #UnbreakableWorldTour ",positive,sem_eval_2017
I wanna go to the studio with Ulysses n them tomorrow\u002cbut i cant. #BARS ,negative,sem_eval_2017
@user haven't started! I've been too caught up in TVD but since I finished that I'll probably start it tomorrow ,neutral,sem_eval_2017
Better be with Kendrick Lamar ,positive,sem_eval_2017
@user a bit frustrating. I don\u2019t think I\u2019ve added you on my new PSN account. I\u2019ll do it tomorrow. ,negative,sem_eval_2017
Rodeo Saturday anyone going? ,neutral,sem_eval_2017
#EDsummit15 is an opportunity for candidates like Carly Fiorina to flesh out education platforms for the 1st time: ,positive,sem_eval_2017
"""I just sat through Kanye West's MTV speech, what the fuck was that..."" ",negative,sem_eval_2017
@user injures Borderland\u002ctaking him out of the PPV.Who will replace him in the Elimination Chamber match? Watch Asylum this Sunday ,neutral,sem_eval_2017
Great article in Rolling Stone on Rod Picott. Check it out!  I'll be interviewing Rod on the August 9th episode... ,positive,sem_eval_2017
Hillary's campaign now reset for the 4th time. Adding humor and heart to a person that has #neither #sadtrombone ,negative,sem_eval_2017
"""...Chris Gough with SIYS...Sharknado director, Anthony C. Ferrante (""""Sharknado 3: Oh Hell No!"""" debuted Wed/ re-airs tomorrow 6pm on SyFy)..."" ",neutral,sem_eval_2017
Fianlly gaming review of Moto G3 and it is a solid performer! 7 Graphics heavy games with Moto G 3rd generation! ,positive,sem_eval_2017
