text	label
okay i\u2019m sorry but TAYLOR SWIFT LOOKS NOTHING LIKE JACKIE O SO STOP COMPARING THE TWO. c\u2019mon America aren\u2019t you sick of her yet? (sorry) 	negative
@user the DC comics site has Batman 44 releases on the 9th but its out now? 	neutral
"""Frank Gaffrey\u002c Cliff May\u002c Steve Emerson: Brilliant. \""""""""Looming Threats: Iran\u002c Hezbollah Hamas\"""""""" is the best #cufidc session I\u2019ve had thus far."" "	positive
The tragedy of only thinking up hilarious tweets for the Summer Olympics now is that in four years there may be no place for them. 	negative
"""Oliseh meets with Victor Moses in London: Super Eagles coach, Sunday Oliseh, has met with Nigeria and Chelsea ... "	neutral
"""People always forget the fact that Shawn achieved so much in the age of 16 like his 1st single, EP and FIRST album ALL went #1 on charts"" "	positive
it looks like a beautiful night to throw myself off the Brooklyn Bridge ---@Tim_Hecht 	negative
@user WAIT WHAT?!?! SCOTUS makes laws!?!? since when? have i been lied to my entire 8th grade year about gov? (sarcasm intended) 	neutral
"""Winnipeg Sun: """"But make no mistake: Janet Jackson played to win. And did."""" #UnbreakableWinnipeg #UnbreakableWorldTour "	positive
I wanna go to the studio with Ulysses n them tomorrow\u002cbut i cant. #BARS 	negative
@user haven't started! I've been too caught up in TVD but since I finished that I'll probably start it tomorrow 	neutral
Better be with Kendrick Lamar 	positive
@user a bit frustrating. I don\u2019t think I\u2019ve added you on my new PSN account. I\u2019ll do it tomorrow. 	negative
Rodeo Saturday anyone going? 	neutral
#EDsummit15 is an opportunity for candidates like Carly Fiorina to flesh out education platforms for the 1st time: 	positive
"""I just sat through Kanye West's MTV speech, what the fuck was that..."" "	negative
@user injures Borderland\u002ctaking him out of the PPV.Who will replace him in the Elimination Chamber match? Watch Asylum this Sunday 	neutral
Great article in Rolling Stone on Rod Picott. Check it out!  I'll be interviewing Rod on the August 9th episode... 	positive
Hillary's campaign now reset for the 4th time. Adding humor and heart to a person that has #neither #sadtrombone 	negative
"""...Chris Gough with SIYS...Sharknado director, Anthony C. Ferrante (""""Sharknado 3: Oh Hell No!"""" debuted Wed/ re-airs tomorrow 6pm on SyFy)..."" "	neutral
Fianlly gaming review of Moto G3 and it is a solid performer! 7 Graphics heavy games with Moto G 3rd generation! 	positive
Blow to the Lions...Joel Patfull's out for the season after breaking his hand in Sunday's loss to Adelaide. Surgery Wed morn.  #afl 	negative
"""Obama, Merkel, Hollande and others are headed to Lough Erne for the G8 in June - huge story. I'll have more on #bbcnewsline in a few minutes"" "	neutral
Ooshma Garg started her 2nd successful company\u002c Gobble. Watch how she got to one of her biggest investors--Reid Hoffman 	positive
"""#BritishBuddhu if Rahul Gandhi is really a British Citizen, I'm very concerned about the comedians out there. They may be without jobs"" "	negative
This next Superbowl is on my (21st) birthday. Random fact of the day. 	neutral
I'm getting strong mail that Eden Hazard will become a Roo tomorrow. Pick 39 & Garlett to wherever the f*ck Hazard plays soccer. Good deal 	positive
Hulk Hogan picked the wrong time to be an ass the 1st class of WWE wrestlers are dying off like flies around a zapper #RIPRoddyPiper 	negative
@user is going to be in Tempe tomorrow... 	neutral
