text,label,source
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,negative,sb_10k
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,neutral,sb_10k
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,positive,sb_10k
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,negative,sb_10k
@user. Diviertete,neutral,sb_10k
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",positive,sb_10k
"Ach Scheiss drauf, dann eben nich",negative,sb_10k
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",neutral,sb_10k
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,positive,sb_10k
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",negative,sb_10k
Sieben künstlerische Projekträume ausgezeichnet http #Berlin,neutral,sb_10k
@user Cool! Keine weiteren Fragen. ;-),positive,sb_10k
@user kamu syahrenong:-(,negative,sb_10k
"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?",neutral,sb_10k
"@user hab keine, bin lieb zu dir. ^_^",positive,sb_10k
NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.,negative,sb_10k
Der #Klassiker ! #Knirps #T2 zum #Sonderpreis ! Der Name spricht für sich - der #Schirm schlechthin ! http,neutral,sb_10k
When we were younger (8),positive,sb_10k
"@user Hi, könnt Ihr bitte Oceans Twelve prüfen? Nach einer halben Std. fehlerhaft :( Andere Serien u. Filme laufen problemlos. Gruß",negative,sb_10k
RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW. ht…,neutral,sb_10k
@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,positive,sb_10k
@user Nicht gut. =(,negative,sb_10k
@user Breizh sur seine.,neutral,sb_10k
@user Schlaf gut und träume was schönes. &lt;3,positive,sb_10k
@user BUT NOT REALLY GUYS,negative,sb_10k
"Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",neutral,sb_10k
"RT @user: BISON #Multichannel-Studie: Wut- und Frust-Käufe zu 76% weiterhin via Offline-Handel ;) Danke @user, heute Aben…",positive,sb_10k
"@user Nee, klappt nicht:/",negative,sb_10k
"Extrem flacher, berührungsloser Winkelsensor http",neutral,sb_10k
Voll schöner Vintage-Spiegel. Oder Retro. Weiß nicht genau. Eher vintage! #latergram #shabby #vintage http,positive,sb_10k
@user die deutsche regierung ist nicht unfaehig ...sie hat nur nix zuppa melden . Ich lach michele tot wie die sich aufblasen,negative,sb_10k
"""Niemand weiß, wie weit seine Kräfte gehen, bis er sie versucht hat."" Johann Wolfgang von Goethe",neutral,sb_10k
"@user Gourmet sozusagen...sehr schön! ... Oh...ganz schön tief...na macht nix, muss ich halt bisschen üben... hmm...^ . ^",positive,sb_10k
"@user Ey! Nichts gegen den Ruhrpott. &gt;:( (Aber ja, teilweise kommen die echt hier wech.)",negative,sb_10k
Gratis Beauty-Box ab 15€ Einkauf http,neutral,sb_10k
"#Museum, #Planes, #Red_Bull, #Friedrichshafen, #Nice, #Cool, #Good, #Fast, #Speed. @ Dornier Museum… http",positive,sb_10k
Hätte vielleicht doch was langes anziehen sollen..,negative,sb_10k
@user nichts.,neutral,sb_10k
"@user geil, abends Äpfel essen, morgens besoffen \o/",positive,sb_10k
RT @user: Täglich fließen 300 Tonnen verseuchtes Wasser vor #Fukushima ins Meer und die Regioerung pocht auf die Sicherheit von Atomkr…,negative,sb_10k
Nicht vergessen: Das bissige #Musical Vergnügen heute im König Albert Theater! http,neutral,sb_10k
Huzur kumsalda :) (@ Beach Bar) http,positive,sb_10k
Routentracing zu dem Server zeigt jedenfalls nichts gutes an. Habe nirgendwo sonst Probleme. Spiele aber auch kaum was anderes online.,negative,sb_10k
RT @user: #Atmosphäre #Meer #Kalk #Kiel #Miesmuscheln Miesmuscheln wachsen auch im sauren Meer http,neutral,sb_10k
Gott sei Dank. Das 1:1. #Eintracht #SGE,positive,sb_10k
@user light mann light Nahrung #Opfer,negative,sb_10k
kein wunder (@user http,neutral,sb_10k
@user nope stimmt nicht (/.\) *wegschmelz*,positive,sb_10k
Unsicher? Ich? Da Lache ich doch. HA!,negative,sb_10k
Grunderwerbsteuer wird erhöht: Der Immobilienkauf wird teurer http,neutral,sb_10k
Im Allgemeinwissen bin ich am 'besten' #omg,positive,sb_10k
@user ein grauenhaftes erlebnis. war auch dort. unglaublich. einfach unglaublich.,negative,sb_10k
TV Beitrag: Reinsdorf Classic Cup 2013 - Zweiter Durchgang Lauf 01 http,neutral,sb_10k
@user nachtiii&lt;3,positive,sb_10k
&lt;- möchte milde kotzen,negative,sb_10k
"@user Mit Blindheit geschlagen sein,ist hoffentlich nicht ansteckend #BTW13 http Zwangsbehandlungsgesetz 26.02.13",neutral,sb_10k
Neue Kollektion kommt! - Wir freuen uns demnächst die streng limitierte Seldom Nasty Kollektion... http,positive,sb_10k
"RT @user: @user ihr macht euch öffentlich und wollt diskurs, also klag nicht, dass er öffentlich stattfindet @user…",negative,sb_10k
RT @user: Führungsstreit beendet: BER-Technikchef Amann abgesetzt http,neutral,sb_10k
...an mit rein durfte ;D bzw.... eigentlich pennte er ja im Sessel als ich ins Bad schlich ;D ;D na ja.. nun bin ich wieder wach :)),positive,sb_10k
endlich Bus erreicht ihr mongos #Matze_der_babo #ha_gayy,negative,sb_10k
Neue Autos stossen weniger Abgase aus: http #News #Liechtenstein,neutral,sb_10k
"@user Könnt ihr bitte für gute Laune sorgen, die ich eigentlich schon habe, und Best Song Ever von One Direction spielen ? #Wunschhits :)",positive,sb_10k
Das interessiert mich gerade echt nicht. #Domian,negative,sb_10k
Langsam wird's hell draußen.,neutral,sb_10k
Süßer kleiner Elefant: Bad Wünnenberg | Kann zur Blumenablage genutzt werden!Bitte Abholung! http,positive,sb_10k
Halloween III spar ich mir. Aus Gründen. #Halloween http,negative,sb_10k
"05:00 Die Bewölkung nimmt zu, es wird wärmer. In den nächsten 12 bis 24 Stunden sind Niederschläge möglich. Windig.",neutral,sb_10k
@user klare Linie bei dt. Außenpolitik wird jetzt schon gebraucht und von Schwarz-Gelb kommt nichts! #r2g wäre also klarer Fortschritt,positive,sb_10k
YOU CAN'T TWERK WITH US! *Gretchen Weiner voice.,negative,sb_10k
Wo? ortseingang Lichtenau! Genauer? B68! Richtung? aus Richtung Paderborn kommend! Wann? 30.08.2013 17:14 Uhr!,neutral,sb_10k
@user @user jetzt erst recht geteerten und auf Seltsames aufmerksam machen ;),positive,sb_10k
sorry meine Internetverbindung ist schlecht der Live Stream wurde abgebrochen nächstes Mal am zehnten elften kommt ein neuer live stream,negative,sb_10k
"Preisabschlag 50% Preis: 18,40 €. Textilien: Noppies Damen Umstandsmode Shirt/ Top, All over Druck 30311, Gr... http",neutral,sb_10k
Photo: Seebrücke um 02:02 Uhr. War schön :) (hier: Seebrücke) http,positive,sb_10k
RT @user: Obama trifft sich wegen #Schnowden Asyl nicht mit Putin. Menschenrechtsverletzungen der Russen waren bislang keine Absage …,negative,sb_10k
Hazard/Gefahr: AKW Fukushima: Radioaktiv belastetes Wasser fließt tonnenweise ins Meer http via @user,neutral,sb_10k
Lebe frei! http http #Freiheit,positive,sb_10k
"Das Wetter?! RT @user: Macht kaputt, was euch nachts wach liegen lässt!",negative,sb_10k
Transfer angeblich perfekt - Real zahlt 99 Millionen Euro für Gareth Bale http,neutral,sb_10k
@user @user @user GLÜCKWUNSCH! Echt heftig platz3 0.0 !! Aber echt verdient &lt;3!!!! Besten:) #stricksockenswagger #3,positive,sb_10k
@user unachtsam *seufz*,negative,sb_10k
Vodafone definiert nach $130 Mrd. schweren Verkauf der Verizon Wireless Beteiligung das Gewinnziel neu. http #LGTNavigator,neutral,sb_10k
@user Kein Problem Süße! :)&lt;33,positive,sb_10k
"""Ich bin mehr so 'ne schöne, gelbe Banane."" #was o_O",negative,sb_10k
"@user Das wäre der erste Schritt, bevor man von den Piraten allgemein spricht. @user",neutral,sb_10k
TVG verliert nach guter Leistung 0:1 gegen Satrup (Pokal). Weiter kämpfen Männer!,positive,sb_10k
Ich werde gerade dezent nicht wach...,negative,sb_10k
"Retweet if you want new followers? Schreibt halt was nettes, dann folgen euch die Leute von ganz allein. Ohne solche Drecksretweets #issso",neutral,sb_10k
@user: Ashley darf dann gerne auf eine aussichtslose Mission gehen... ^^,positive,sb_10k
@user seit monaten geht der mist hier wieder los.....warum blos?,negative,sb_10k
@user #Mainz vs. #Eintracht ...wär' doch was!? #dfbpokal,neutral,sb_10k
"Als alter Boston Legal &amp; James Spader/Alan Shore Fan, freue ich mich auf den Serien Neustart in den USA #TheBlacklist http",positive,sb_10k
XBOCT äußerst sich negativ über Mitspieler http #esports,negative,sb_10k
"Gladbach:""Ter Stegen fehlt, Younes bricht ab, Arango individuell http #Gladbach",neutral,sb_10k
@user und? Hast dus fertig? :P,positive,sb_10k
Nicht gut. #LT,negative,sb_10k
"""Die NSA-Spionage macht uns weniger sicher"" - http #NSA #PRISM",neutral,sb_10k
Alkohol! Jetzt! Mehr Alkohol! Sofort!,positive,sb_10k
"Achtung, politisch unkorrekter Witz!! http",negative,sb_10k
Er kann es nicht lassen – Xavier Naidoo doch wieder mit Musik-Show im TV!: Xavier Naidoo kann einfach nicht au... http,neutral,sb_10k
@user 2-0 Toko :) war eine ganz starke Vorstellung!!! #Danke #GCZ,positive,sb_10k
"34 km, 615 hm. #Duscht mich! Knie schmerzt. #Aua! #Fertig! #Wasser! #Willinsbett #mimimimi",negative,sb_10k
"Fremdartiges Gefühl – Kirsten Dunst: Noch nicht bereit für Kinder: 31 Jahre alt, eine langjährige Karriere als... http",neutral,sb_10k
"@user schlafet Wohl, wehrte Dame!",positive,sb_10k
Als was geht Merkel in die Geschichte ein? 1. Streuselkuchenkanzlerin 2. #merkelphone 3. Wendekönigin 4. erfolgr.WahlkampfSchlaftablette 5.?,negative,sb_10k
[EDOEB] Aktualisierte technische Dokumente InTV: Die technischen Dokumente wurden aktualisiert. Freundliche... http,neutral,sb_10k
....auf meinen Schatz warten♡ (@ apt Hiller GmbH w/ @user) http,positive,sb_10k
Weltbild zerstört: Tageziel erreicht! RT @user: Mein ganzes Weltbild ist jetzt im Arsch.,negative,sb_10k
#telmi #dewa Sport: Fußball/1. Bundesliga: Eintracht Braunschweig geht in Hamburg unter,neutral,sb_10k
@user Kein Problem dass du erst jetzt antwortest! Lieber später als nie. :),positive,sb_10k
"RT @user: Fiedler (CDU) bezeichnet Snowden als Verräter. ""Ich mag solche Leute nicht, der will nur Geld machen"". Unglaublich. #plen…",negative,sb_10k
Znojmo holt alten Bekannten http #Sport #Eishockey,neutral,sb_10k
"""Stell dir vor, Österreich müsste bei der WM gegen Brasilien spielen!"" Wir lachen uns tot.",positive,sb_10k
@user @user @user :-/,negative,sb_10k
Software gegen Überwachung: Verschlüsseln soll einfacher werden http via @user,neutral,sb_10k
16 Auszubildende beenden erfolgreich ihre Ausbildung - http,positive,sb_10k
"""...größer als bisher angenommen."" Wat'n Quatsch! Wer soll da wieviel angenommen haben? Wir denken das Schlimmste and then some! #GCHQ",negative,sb_10k
RT @user: 'Bundesregierung verhindert strengere Abgasnormen'. BMW spendet fast 700 Millionen an #cdu. Lobbyisten im Kanzleramt! http,neutral,sb_10k
Hab voll bock nachher Pokemon Puzzle League spielen. lass euch dann davon teil haben =3,positive,sb_10k
Für'n Arsch. Echt.,negative,sb_10k
Medien ohne Moral – 25 Jahre nach dem Gladbecker Geiseldrama #srf http,neutral,sb_10k
@user dafür KICK ASS,positive,sb_10k
RT @user: *stirbt gelassen aus*,negative,sb_10k
@user kurzprosa,neutral,sb_10k
@user your welcome,positive,sb_10k
Miley Cyrus übertreibts langsam leicht.,negative,sb_10k
@user:#Hypo #Real #Estate Ex Chef klagt seit Jahren sein Gehalt ein.Nun fordert HRE Schadenersatz v Ex-Managern http,neutral,sb_10k
RT @user: Ich muss wieder mehr Beats machen. NEVER SLEEP CAUSE SLEEP IS THE CAUSE OF DEATH #nasvoice #music… http,positive,sb_10k
"dasErste Mediathek http text/css Unglaublich! ""Miete rauf, Mieter raus!""",negative,sb_10k
"Weisheit des Tages: Wer gut schminkt, brauch weniger Schlaf",neutral,sb_10k
"@user mach das, @user wird dir unheimlich dankbar dafür sein",positive,sb_10k
