text	label
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft	negative
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http	neutral
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚	positive
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*	negative
@user. Diviertete	neutral
@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!	positive
Ach Scheiss drauf, dann eben nich	negative
RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…	neutral
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog	positive
Dieses Gefühl, wenn man von Personen enttäuscht wird...	negative
Sieben künstlerische Projekträume ausgezeichnet http #Berlin	neutral
@user Cool! Keine weiteren Fragen. ;-)	positive
@user kamu syahrenong:-(	negative
Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?	neutral
@user hab keine, bin lieb zu dir. ^_^	positive
NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.	negative
Der #Klassiker ! #Knirps #T2 zum #Sonderpreis ! Der Name spricht für sich - der #Schirm schlechthin ! http	neutral
When we were younger (8)	positive
@user Hi, könnt Ihr bitte Oceans Twelve prüfen? Nach einer halben Std. fehlerhaft :( Andere Serien u. Filme laufen problemlos. Gruß	negative
RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW. ht…	neutral
@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l	positive
@user Nicht gut. =(	negative
@user Breizh sur seine.	neutral
@user Schlaf gut und träume was schönes. &lt;3	positive
@user BUT NOT REALLY GUYS	negative
Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung	neutral
RT @user: BISON #Multichannel-Studie: Wut- und Frust-Käufe zu 76% weiterhin via Offline-Handel ;) Danke @user, heute Aben…	positive
@user Nee, klappt nicht:/	negative
Extrem flacher, berührungsloser Winkelsensor http	neutral
Voll schöner Vintage-Spiegel. Oder Retro. Weiß nicht genau. Eher vintage! #latergram #shabby #vintage http	positive
@user die deutsche regierung ist nicht unfaehig ...sie hat nur nix zuppa melden . Ich lach michele tot wie die sich aufblasen	negative
"""Niemand weiß, wie weit seine Kräfte gehen, bis er sie versucht hat."" Johann Wolfgang von Goethe"	neutral
@user Gourmet sozusagen...sehr schön! ... Oh...ganz schön tief...na macht nix, muss ich halt bisschen üben... hmm...^ . ^	positive
@user Ey! Nichts gegen den Ruhrpott. &gt;:( (Aber ja, teilweise kommen die echt hier wech.)	negative
Gratis Beauty-Box ab 15€ Einkauf http	neutral
