text,label,source
@srbachchan #shamitabh #piddly #shamitabhtrailerlaunch .... piddly si baatien...!! yeah!!! http://t.co/r3r1bqklqe,negative,sail_2015
@shaziailmi kya hua??? haar bardaash nahi hua. ur cm candidate ran &amp; u followed her running from @timesnow #aapsweep #aapstorm #aap,neutral,sail_2015
i can listen crackers sounds.. out side the courtyard.. #indvssa #indiavssouthafrica,positive,sail_2015
I think vai app padhtey hongey plzz mai appse milna chata hu,negative,sail_2015
abp ka bachha hogya kya :,neutral,sail_2015
masha allah good....yeh hain meri hindi,positive,sail_2015
@someUSER capello had a draw in his 4th game with juve in the serie a (2004/2005) . ,negative,sail_2015
guddu hmara bada ho k jarur politican banega  .  .  .  . aaaiiiyyyeeee .  .  .  . ,neutral,sail_2015
yaar aankh khuli ni aur ye padh liya din hi kharab hai,positive,sail_2015
shaan is like .  .  question kahin mujh par na aajaye :p,negative,sail_2015
rt @rewati5: *yawning* finally it's a win! #indvsuae,neutral,sail_2015
uae batsman !!kuchh samay to guzaaro crease pe #indvsuae,positive,sail_2015
Bahut log hai jo aapse baat karna chahte hai..plzzzzzz dn't brk thr hearts sir plzzzz,negative,sail_2015
Tu dekh liyo ?? ,neutral,sail_2015
ye bhi add kr dete garbage bin,positive,sail_2015
contra mein 30 lives ke liye sachme chit tha ?  ?  :( kabhi pata hi nahi tha :'(,negative,sail_2015
"kaash viva me ese rone se marks mil jaya krte .  .  .  .  "" sir padha toh tha pr abi yaad nhi aa rha  .  .  .  . boohoohoo ""  :p ;)",neutral,sail_2015
"lucky shops are coming to nyc ! : the sale of the season hosted by lucky magazine with grammy winner jennifer hudson ,  starts november 1 .  .  . ",positive,sail_2015
Next year😜 ,negative,sail_2015
"&amp; i think i m d only laziest kaam s jee churaane vaala , meet all d baap of aalasis , nikahtoo of india #rahulonleave",neutral,sail_2015
that movie flight with denzel looks really good !  may have to go check it out,positive,sail_2015
"i never believed in this sort of stuff but when i read it ,  i found that this is true",negative,sail_2015
#ind is definitely going to win tomorrow's match #indvsuae #cwc15,neutral,sail_2015
mera kuch ni malum main kb shopping  kr lu ,positive,sail_2015
anyone else find it entertaining that ash wednesday and national margarita day fall on the same day ? ,negative,sail_2015
mostly gls k parents aise hi hote h ... or ye tumhe pehli br pta chla h kya jb itna feel hota h to log bf q bnate h itne sare .... nautanki .... ,neutral,sail_2015
bed ke pichhe se contra ka poster kahan gaya ?  ? ,positive,sail_2015
Salman Bhai yeh bajrangi bhaijan pe comment aa rhe hai is movie ko nhee dekhna,negative,sail_2015
Aaray Yaar koi toh bolo sab comment kar re khali kispe baat karinge bhi,neutral,sail_2015
script ke jagah homework ka puchti tab pta chalta uske rug rug me acting hai :d,positive,sail_2015
syrian delegation withdrew from 1st session of the non-aligned movement summit in iran as mohamed morsi addressed #syria crisis,negative,sail_2015
gf hi to bna rhe h yha ... kranti wranti to bad me hoti rhegi ;) ,neutral,sail_2015
indiaaah india - with ever cheer and with every run pakistan like mohd. irfan will crumble and be all over the place #indvspak,positive,sail_2015
bhaiyo aman ki bto m mt aana ye bjp ko bdnam karne ki sajish hai .  ab aap log congress ke piche kyu ni padte unse dosti ho gayi hai aap logo ki isliye . ,negative,sail_2015
jaago hinduo jaago murkh na bano ye kejri bhi deshdrohi gadaar hai like congress,neutral,sail_2015
modi ji aage chalo haem aapki jarurat hai,positive,sail_2015
aap to paagai thai channelwale bhi,negative,sail_2015
Man is doing like a man does ... ,neutral,sail_2015
aese mat bol yar kuch aisa kar k dikha k tere parents khud khe k ye hmari beti h . ,positive,sail_2015
sophia grace and rosie: we know one of your songs !  !  the sun comes down na na na na @someUSER http/URL,negative,sail_2015
#entrepreneur #angelinvestor pitch in on the new birthday party / super bowl sunday treat http/URL,neutral,sail_2015
Kaha par hai,positive,sail_2015
@someUSER perhaps they want a 3rd choice hahaha !  like ben amos at #mufc,negative,sail_2015
good news he is going to be father,neutral,sail_2015
Yar ashu tm had par kr rhe ho. Plz bs kr yr. . .itna nonsense mt bolo,positive,sail_2015
agn d so cld LYF n itz tricks ... #fedupvdit ,negative,sail_2015
Han dhund ra hu k db ka default passed kya h ,neutral,sail_2015
sir orissa pe kavi aao na.plz...,positive,sail_2015
dilli yeh #aap ne kya kiya? #delhidecides #delhielections,negative,sail_2015
