text	label
@srbachchan #shamitabh #piddly #shamitabhtrailerlaunch .... piddly si baatien...!! yeah!!! http://t.co/r3r1bqklqe	negative
@shaziailmi kya hua??? haar bardaash nahi hua. ur cm candidate ran &amp; u followed her running from @timesnow #aapsweep #aapstorm #aap	neutral
i can listen crackers sounds.. out side the courtyard.. #indvssa #indiavssouthafrica	positive
I think vai app padhtey hongey plzz mai appse milna chata hu	negative
abp ka bachha hogya kya :	neutral
masha allah good....yeh hain meri hindi	positive
@someUSER capello had a draw in his 4th game with juve in the serie a (2004/2005) . 	negative
guddu hmara bada ho k jarur politican banega  .  .  .  . aaaiiiyyyeeee .  .  .  . 	neutral
yaar aankh khuli ni aur ye padh liya din hi kharab hai	positive
shaan is like .  .  question kahin mujh par na aajaye :p	negative
rt @rewati5: *yawning* finally it's a win! #indvsuae	neutral
uae batsman !!kuchh samay to guzaaro crease pe #indvsuae	positive
Bahut log hai jo aapse baat karna chahte hai..plzzzzzz dn't brk thr hearts sir plzzzz	negative
Tu dekh liyo ?? 	neutral
ye bhi add kr dete garbage bin	positive
contra mein 30 lives ke liye sachme chit tha ?  ?  :( kabhi pata hi nahi tha :'(	negative
"kaash viva me ese rone se marks mil jaya krte .  .  .  .  "" sir padha toh tha pr abi yaad nhi aa rha  .  .  .  . boohoohoo ""  :p ;)"	neutral
lucky shops are coming to nyc ! : the sale of the season hosted by lucky magazine with grammy winner jennifer hudson ,  starts november 1 .  .  . 	positive
Next year😜 	negative
&amp; i think i m d only laziest kaam s jee churaane vaala , meet all d baap of aalasis , nikahtoo of india #rahulonleave	neutral
that movie flight with denzel looks really good !  may have to go check it out	positive
i never believed in this sort of stuff but when i read it ,  i found that this is true	negative
#ind is definitely going to win tomorrow's match #indvsuae #cwc15	neutral
mera kuch ni malum main kb shopping  kr lu 	positive
anyone else find it entertaining that ash wednesday and national margarita day fall on the same day ? 	negative
mostly gls k parents aise hi hote h ... or ye tumhe pehli br pta chla h kya jb itna feel hota h to log bf q bnate h itne sare .... nautanki .... 	neutral
bed ke pichhe se contra ka poster kahan gaya ?  ? 	positive
Salman Bhai yeh bajrangi bhaijan pe comment aa rhe hai is movie ko nhee dekhna	negative
Aaray Yaar koi toh bolo sab comment kar re khali kispe baat karinge bhi	neutral
script ke jagah homework ka puchti tab pta chalta uske rug rug me acting hai :d	positive
syrian delegation withdrew from 1st session of the non-aligned movement summit in iran as mohamed morsi addressed #syria crisis	negative
gf hi to bna rhe h yha ... kranti wranti to bad me hoti rhegi ;) 	neutral
indiaaah india - with ever cheer and with every run pakistan like mohd. irfan will crumble and be all over the place #indvspak	positive
bhaiyo aman ki bto m mt aana ye bjp ko bdnam karne ki sajish hai .  ab aap log congress ke piche kyu ni padte unse dosti ho gayi hai aap logo ki isliye . 	negative
jaago hinduo jaago murkh na bano ye kejri bhi deshdrohi gadaar hai like congress	neutral
modi ji aage chalo haem aapki jarurat hai	positive
aap to paagai thai channelwale bhi	negative
Man is doing like a man does ... 	neutral
aese mat bol yar kuch aisa kar k dikha k tere parents khud khe k ye hmari beti h . 	positive
sophia grace and rosie: we know one of your songs !  !  the sun comes down na na na na @someUSER http/URL	negative
#entrepreneur #angelinvestor pitch in on the new birthday party / super bowl sunday treat http/URL	neutral
Kaha par hai	positive
@someUSER perhaps they want a 3rd choice hahaha !  like ben amos at #mufc	negative
good news he is going to be father	neutral
Yar ashu tm had par kr rhe ho. Plz bs kr yr. . .itna nonsense mt bolo	positive
agn d so cld LYF n itz tricks ... #fedupvdit 	negative
Han dhund ra hu k db ka default passed kya h 	neutral
sir orissa pe kavi aao na.plz...	positive
dilli yeh #aap ne kya kiya? #delhidecides #delhielections	negative
@fully_fundoo koi engineer thali baitha ho to mujhe ye bata do bhai ki ye 10 wale recharge me kitne milenege #unionbudget2015 #sabkabudget	neutral
Mare favroute sallu vi...	positive
Tera post aur madhur bhandarkar ki movies ek jaisi hai .. a good one but noone will apprehend ... 	negative
supperrb salman khan..	neutral
this is fake news shame on you media usa how much given you money blady media  .  .  .  .  .  .  . 	positive
sir wanted ki sequel kab aa rahi sir tere naam ke baad wanted ke baad dabang ab bajrangi bhaijaan	negative
kahan kahan memory se khod laate ho guddu bhai	neutral
Jis jis ko MH ki full form pta hai thoko like  p  D 	positive
