text	label
@user mi fa sbagliare tutte le paroleeeee.	negative
@user perfetto hai visto poi alla fine anche oggi e passato..	neutral
Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù	positive
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo	negative
@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol	neutral
@user lo so amore grazie..	positive
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…	negative
in vendita Villa Stupenda a Santo Domingo http	neutral
RT @user: ditemi se non è una delle cose più belle del mondo http	positive
Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http	negative
RT @user: TROVA LE DIFFERENZE. http	neutral
GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO http #terni	positive
Invece di chiedersi perché #Grillo riempie le piazze, tutti pensano solo a dargli del populista!!! Roba da non credere!!!	negative
\n\t\t\t\tBossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti»\n\t\t\t: «Nessun gioco delle parti:... http	neutral
Però diciamoci la verità. L'amore alla fine é una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta	positive
#Grillo vuol fare il #Berlusconi del '94. Sparigliare i partiti e prendere il potere. Ho i brividi, a un tale vichingo preferisco il nulla.	negative
@user #Grillo dacci un giudizio netto su #Monti. E dicci c'è una forza politica con la quale faresti alleanze? Di Pietro sì o no?	neutral
@user anche io..però ci credo.. @user sarà decisivo, me lo sento #ForzaMilan	positive
L'ultima mania di #ClaudiaB è prendersela con Mario Monti. Dubito, però, che sappia davvero chi sia #dubbi #certezze	negative
la riunione del 18 è spostata a data da definire, importante dovete partecipare almeno alla metà delle lezioni pena esclusione dal gruppo	neutral
@user Grazie al mio CATANIA e una grande JUVE il campionato è ufficialmente RIAPERTO...	positive
Certo che il professor Monti poteva dare una mano alla moglie in cucina... E che c... #cotechinoelenticchie	negative
@user tu dovresti fare un video con @user	neutral
@user @user #Grillo #ServizioPubblico sto cominciando a pensare di votarlo, e non l'avevo mai fatto prima	positive
http L'errore di Pdl e Pd che non vogliono una base politica per il governo Monti http	negative
@user ciao Claudio tutto ok?	neutral
In Mario Monti we trust! #acasa	positive
@user non mi portano fuori perchè il caro tommaso deve fare i compiti	negative
Controindicazioni del governo Monti?.. http via @user	neutral
@user sei stato bravissimo ieri..non ti devi fare nessun problema...	positive
l'ultima cazzata sul governo Monti: metterà la tassa sul possesso di animali domestici! ma roba da matti....	negative
[ ] i miei vestiti[xxx] la mia vita[xxx] la macchina dei miei[ ] la mia scuola [xx] mie scarpe	neutral
"Mario Monti: ""L'Italia si riscatti, non siamo noi i deboli"": ROMA ""Intendo adempiere a questo compito con sens... http"	positive
-_- lo odio	negative
RT @user: #Onfray e #Escobar su #Camus e la lezione appresa da #Nietzsche  @user copertina @user	neutral
Mario Monti sereno e molto determinato ad andare avanti. http	positive
@user ...continuano a corrermi brividi lungo la schiena....il governo Monti non mi tranquillizza nemmeno un poco.	negative
Orari dei negozi, a che ora si fa la spesa in Europa? Tra le rivoluzioni previste dalle riforme del governo Monti... http	neutral
"@user #Grillo non ha bisogno della tv ne dei \"" giornalisti \"", se vuoi fare le domande vai in piazza come tutti ;)"	positive
Mario Monti .... DOMANDA: chi gli ha dato il diritto di cedere le nostre sovranità all'Europa? VIDEO INTEGRALE: http	negative
Il governo Monti subito al lavoro, tra i ministri nessun politico. Oggi la fiducia al Senato.. http	neutral
@user hai dimostrato che tieni a questa maglia ..grande !!!	positive
"#Bossi: ""Il #governo #Monti fa schifo"". E #Berlusconi si dimise perché ""ricattato"" http"	negative
@user directioner e basta, loro sono le mie uniche ragioni di vita. Non amo far parte di piu' fandom, mi tengo -	neutral
help meeeeeee sto scoppiando ...e deve ancora arrivare la pasta...  8-X!!!	positive
Vorrei che tutti i quintali di pasta al forno che gli ora stiamo mangiando siano goduti alla faccia di Mario Monti e della Bce #wl'Ungheria	negative
Gente che ride perché ha fatto una corsa. #Vabbè	neutral
Appena visto e sentito Mario #Monti dalla #gruber. Più che mai l'impressione è che siamo finalmente in buone mani...altro che #Berlusconi	positive
POI DICONO CHE I MATTI SONO AL MANICOMIO........NO AL GOVERNO MONTI...E' PERICOLOSISSIMO..............!	negative
Dopo il no alla #manovra ecco come ci porremo in futuro nei confronti del #Governo #Monti http	neutral
@user: Un paese che ha risorse come Mario Monti le valorizza al servizio delle istituzioni. Grazie Presidente! #elezioni	positive
Indiscrezioni Governo Monti: Passera per lo sviluppo pare sia una richiesta particolare di Berlusconi.	negative
#Ministri, la formazione del governo Monti su Twitter.: http via @user	neutral
La vita e' un gran bel libro..a volte pero' sei costretto a fermarti, tornare indietro per riprendere il filo....Notte dolce dolce notte....	positive
#manovra: anche il governo Monti nella morsa delle lobby! in questo paese i privilegi non si toccano :( e la povera gente paga! #FB	negative
Gp Bahrain, Rosberg domina seconde libere e Ferrari indietro: Nico Rosberg davanti a tutti nelle seconde prove l... http	neutral
@user ma è bellissimo *O* grazie mille :3	positive
@user si e pure brutto	negative
@user Per non dire 'sto arrivando' a tutti....Guarda questo video su YouTube:http	neutral
#rimontiamo Bisognerebbe essere veri banditi per sabotare un governo Monti . I requisiti ci sono (Ellekappa)	positive
@user dispiace che chi appartiene al mondo della politica arrivi a conclusioni di cui #Grillo parla da 15 anni solo oggi.	negative
http non riesco a vedervi tutti. scrivetemi se ho saltato qualcuno. cwc	neutral
@user certo che sei proprio cercato da tutti xD	positive
La Cisl ''sosterrà a piene mani'' il governo Monti. Adesso ho paura davvero #oramonti	negative
Mentana sintetizza il perché del Governo Monti TG LA7 10/12/11 http	neutral
Sondaggio Piepoli: il governo Monti piace a più del 50% degli italiani: #berlusconi #giorgio napolitano #istituo... http	positive
Dovremmo solo accettare ke qnd qualcuno nn si fa sentire, è xké nn vuole...e dovremmo lasciar perdere...	negative
RT @user: Ehi tu!si proprio tu lo so che hai letto bhe continua a leggere #rt seguimi e ti seguo in più ti voto l'con in %...daii dai…	neutral
@user grazie Andre!	positive
RT @user: TU..VUOI RESTARE AL COLLE??OK....RESTACI A SVERNARE..MA ABBI LA COMPIACENZA DI STARE COMPLETAMENTE IN SILENZIO!!! http	negative
bit.ly/tEXrrY #finanza #blog #crisi #governo #monti #tasse #mario #berlusconi #Roma	neutral
La bella notizia di oggi, oltre al probabile governo Monti, è che Di Pietro se ne tirerebbe fuori.	positive
Non c'è da stupirsi se il partito liquido di #Grillo va in Parlamento.L'ha gia fatto Cicciolina con il partito solido.	negative
Dopo 22 anni di gestione privata, il patrimonio immobiliare del Comune ritorna ad essere governato direttamente... http	neutral
@user #ditelavostra Ci voleva un cambio di stile e di passo! Il Governo Monti farà bene alla nostra autostima .	positive
Pare, dico pare, che Lorenzo Cesa sarà ministro nel nuovo governo Monti. Se permette, caro Presidente Napolitano, torni a dormire...	negative
Se potessi fare qualcosa ora, che cosa faresti? — lo chiamerei e gli direi quanto mi manca. http	neutral
#FF @user ... perché è stata una piacevole sorpresa scoprire che oltre che ad essere una bella ragazza è anche una Bella persona	positive
@user eh eh mao è tutto un altro movimento..sarebbe da ridere se non ci fosse da piangere!!!	negative
"Quando Massa e Siena si ""litigavano"" Vetulonia, la Colonna etrusca http"	neutral
@user io amo demi, è la mia forza. &lt;3	positive
il governo Monti: «Ora di corsa». Attenti che avete tutti una certa età. #buogiorno #monti #rimontiamo	negative
Oggi Minsk, #Bielorussia, ospita il vertice dei ministri degli esteri della Comunità degli Stati Indipendenti -... http	neutral
@user piacere mio, tutto bene te?	positive
Ma sarebbe #Grillo il futuro della politica?	negative
@user &lt;settings...credo sia cosi anche per l'italiano	neutral
RT @user: @user bellissima immagine del profilo ti do 10 :)	positive
RT @user: partite di ieri così noiose che #gazzetta dedica prima pagina a notizia di cronaca  #UCL #realjuve #champions http	negative
IX Congresso nazionale di Legambiente. Un appello a Mario Monti per ridurre i tagli al trasporto pubblico locale... http	neutral
Mario Monti regalaci un sogno un Italia normale cornetto e caffè al Bar Dello Sport Grazie... http	positive
Chi è contro un governo #Monti perché sarebbe tecnocratico, non scelto dal popolo sovrano bla bla bla forse non è sincero	negative
Governo Monti: nominati Viceministro e Sottosegretario al Lavoro e Politiche Sociali: Michel Martone e Cecilia G... http	neutral
#laresadeiconti un sogno: Milena Gabanelli e quelli di Report consulenti del nuovo Governo Monti per spiegare come sanare il nostro debito	positive
Letterina a nonno Mario Monti. Un po' di omissione del dissenso? http	negative
@user Maha Maha credo appartenga al periodo Lizzy Grant, Queen of Disaster non credo che sarà nell'album, ha detto lei stessa che-	neutral
@user certo che si aggiusterà, sii fiduciosa hdjhkj sono qua a fare il tifo per te che migliorino le cose. sappilo :3 ♥	positive
http dannata onda io vi stupro a tutti e tre come state Kyuhyun, Eunhyuk e Leeteuk *A*	negative
Governo Monti: l'agenda economica 2012 http	neutral
@user Grazie	positive
Ma basta con sto caldo.	negative
articolo di Valerio Valentini per http Mario Monti ha presentato, nei giorni scorsi, la... http	neutral
@user grazie 😊❤	positive
E vai adesso con Mario Monti/Superman, crisi finita, stipendi in aumento, e riforme. Grazie Stato! Se non ci fossi bisognerebbe inventarti!	negative
#Grillo 5 Stelle: ecco tutti i pro e i contro - Crisis http via @user #m5s	neutral
@user ci prepariamo per tornare a Roma e come sempre @user non trova nulla ! É adorabile XD	positive
Della serie non c'e' limite al peggio da #Monti a #Grillo dalla gotta alla lebbra da #Bersani a #Vendola da Leone di Lernia a Wanda Osiris	negative
Giorgio Gaber, nome d'arte di Giorgio Gaberscik (Milano, 25 gennaio 1939 – Montemagno di Camaiore, 1º gennaio 2003)	neutral
è arrivano ora che ne avevo un bisogno estremo e mi sta facendo essere felice come mai prima.	positive
#la7 ma perche' Mario Monti non fa il premier? Che persona competente e per bene!	negative
Ho spostato la luce della scrivania sopra al letto così dato che il lampadario è fulminato posso spegnere la luce senza alzarmi #sonoungenio	neutral
Semplificazioni, procedure anagrafiche e di Stato civile più veloci: #certificati #mario monti #semplificazioni... http	positive
Siete così bravi a parlare di Juve che ho perfino letto uno stato che parla della Yuve	negative
RT @user: Bufera Pdl, arrestato Vignali. Il pm: “Contattava Berlusconi grazie alla Macrì” - Il Fatto Quotidiano http	neutral
Potrebbe anche ricordare i primi Berlusconi e Bossi, ma #Grillo è l'unico che merita il mio estremo gesto di speranza. #serviziopubblico	positive
Non parlatemi di morti per favore, vi scongiuro parlate di tutto ma non di questo.	negative
@user Ahahhahaha si ci credo ma quanto l'hai pagato?	neutral
@user Mario Monti la sta vedendo la conferenza stampa di fine anno? Diciamo che è uno che sa il fatto suo	positive
Fa ridere vedere come si spremono quel poco di cervello per capire il significato di un'occupazione.Senza midollo,ne dignità.	negative
Arbasina/Giavazzi sul Corriere a proposito della politica economica del governo Monti: Ciò che conta è la qualità http	neutral
@user @user il giovedì abbiamo rotazioneee hahah	positive
Leggete 'Goldman Sachs innesca la crisi e poi piazza Mario Monti a risolverla video' di Claudio Messora @user http	negative
Scorie nucleari: il governo Monti le liberalizza ? la mappa http	neutral
Bersani, Pd: pieno appoggio a governo Monti, avanti con riforme... http	positive
Con il Governo Monti #agorarai invece di svegliarmi mi addormenta. Senza B. la politica torna ad essere noiosa.	negative
REUTERS ANALISI Crisi, di corsa verso il governo Monti	neutral
"Ho mangiato metà uovo di cioccolata e mio cognato ha sgridato sua figlia e lei diceva \""è stato lo zio\"" e io ho negato tutto!! mi sento power"	positive
RT @user: non credo che i ragazzi reggeranno sette ore di twitcam. hanno l'attenzione pari a quella di un bradipo addormentato.	negative
Governo Monti a lezione dai precari. Domani flash mob a piazza del Gesù #Napoli http	neutral
RT @user: @user number one da Rocco. Puoi morire felice.	positive
Senza misure per lo sviluppo sarà #recessione. Il dati #Istat di oggi non lasciano dubbi. Ma, Governo #Monti, dove sono queste misure?	negative
"#Maroni parla agli industriali: ""Burocrazia zero e niente Irap per le start up"" http"	neutral
buonanotte a chi è felice e domani fidati, sarà migliore...e buonanotte a chi cerca i perchè di una vita che stenta ancora ad accettare...	positive
"Il governo Monti richiede ai cittadini comuni grandi sacrifici ma ha avuto uno scarso coraggio nell'aggredire i privilegi consolidati."""	negative
Quale argomento di conversazione consideri noioso? — qualunque cosa sia anche lontanamente collegata all'epica.... http	neutral
@user io del governo Monti non mi lamento per nulla infatti	positive
@user dovrebbero tassare anche le corna che i mariti mettono alle mogli e viceversa..però vale solo per i politici..	negative
Consiglio aperto sulla manovra del governo Monti http @user Pontedera	neutral
Cala il sipario sul #Quirinale. Rito della campanella concluso. Adesso tocca riassestare l'Italia. Buon lavoro a Mario Monti. #governomonti	positive
A rischio il governo Monti, con la #concordia si va a fondo #giglio	negative
http idee per il #governo #monti	neutral
Forse con il governo #Monti si tornerà a fare politica.	positive
Un altro passo falso del governo Monti http	negative
Energia e Ambiente: GOVERNO MONTI: IL MINISTRO CLINI DICE SI AGLI INCENTIVI http	neutral
jhdfgh forse a settembre vado a londra cazzo non ci credo è il sogno di una vita glkds	positive
