text,label,source
yang memerlukan pemerhatian dan tindakan serius,positive,malaya
sentiasa memikirkan dan merancang inisiatif bagi menambah baik sistem penyampaian kerajaan kepada rakyat,positive,malaya
"Kita akan tengok daripada pelbagai aspek supaya akhirnya hak rakyat dapat dikembalikan, itu fokus kita pada tahun ini selaras dengan arahan pucuk pimpinan SPRM",positive,malaya
justeru asean perlu mengambil tindakan sebagaimana dianjurkan oleh malaysia,positive,malaya
"@_Niiar_ Jangan punah dulu, aku belum ke labuan bajo",neutral,malaya
Tanpa filter siapa lah aku https://t.co/VIpEX5C0ml,neutral,malaya
Para pelabur dan pasaran global hilang keyakinan terhadap kita dan kita mengambil masa yang lama untuk memenangi semula hati mereka,negative,malaya
let's say one day kelak ada org kelaka burok pasal aku ada sik kawan aku yg akan back up aku oh? just wonder,negative,malaya
"Member tu aku tengok kurus aje, tembam mananya",neutral,malaya
Jadi ia tidak seragam,negative,malaya
@mkini_bm Tutup kilang pelabur akan ugut untuk lari ke negara lain..mana berani kerajaan selangor dgn taikun,negative,malaya
Hubungan yang rapat ini penting dalam meningkatkan kebolehpasaran graduan agar dapat menepati kehendak industri selepas mereka bergraduasi,positive,malaya
Tak sangka rumate dah besar. Siap dah bau peluh2 masammmm dah. Hahaha https://t.co/Ryl44lqZKl,neutral,malaya
@Haiti274 @BudakBumBesar @mrfzr13 Jom bby,neutral,malaya
"Oleh kerana proses pengambilalihan itu belum selesai, MRT Corp tidak mempunyai hak milik ke atas Ampang Park dan tidak dapat mengawal apa yang berlaku kepada bangunan itu ketika ini",positive,malaya
@syzsq Kt johor tkde,negative,malaya
Saya berharap kerjasama seperti ini dapat diteruskan dan seterusnya dapat menjadikan kementerian ini sebagai kementerian yang benar-benar dapat membantu rakyat.,positive,malaya
meniruskan fokusnya kepada 'ketidakadilan semula jadi' media asing terhadap kerajaan tetapi bersikap sebaliknya terhadap pembangkang.,negative,malaya
Kedua-dua sekolah dapat berkongsi pelbagai kemudahan seperti padang,positive,malaya
"Resolusi itu memberi kesan besar terhadap Malaysia, bukan sahaja dari segi ekonomi, malah terhadap pendapatan pekebun kecil kelapa sawit yang bergantung kepada penjualan hasil eksport berkenaan",negative,malaya
"Sebab itu kita perlu kerja lebih gigih bukan saja untuk menang kerusi DAP, tapi pada masa sama turut bantu rakan-rakan Harapan.",positive,malaya
perdana menteri telah memberitahu komuniti perniagaan amerika syarikat bahawa kempen untuk sengaja mensabotaj mdb dan melemahkan keyakinan pelabur terhadap ekonomi malaysia,negative,malaya
Malah tidak keterlaluan jika kita katakan bahawa penggunaan teknologi adalah pelengkap kepada keperluan kehidupan seharian kita,positive,malaya
perbaiki sistem penyampaian pedalaman Sabah,positive,malaya
Apel pagi personil sat lantas polres serdang bedagai https://t.co/6TAa1wojeE,negative,malaya
Kita ada agenda yang penuh namun ia turut menjadi peluang untuk memperluas kepentingan bersama kita,positive,malaya
dakwaan itu juga boleh menyebabkan dunia kurang keyakinan terhadap keupayaan negara mengawal tempat-tempat keselamatan.,negative,malaya
"Atas pengalaman itu, kita lihat MCA tak mampu menarik undi kaum Cina apabila hasil analisis dilakukan didapati kawasan majoriti Cina seperti di Dun Teruntum tidak memihak kepada BN.",positive,malaya
mempersoalkan motif di sebalik makan malam anak kepada bekas Perdana Menteri,positive,malaya
@amadsafir Terima kasih bosku,positive,malaya
"Peluang hanya datang sekali sahaja seumur hidup bagi menyeimbangkan duniawi dan ukhrawi, bagi menjadi insan yang kamil dan aset kepada negara dan bukannya liabiliti",positive,malaya
@KhairulAqmal @ummijohan Maaf cik tu di penang. Kami kat kedah sibuk nak korek sungai bagi ayaq xsampai penang,positive,malaya
Kelompok pertama yang didiskriminasi oleh polisi baru ini ialah golongan graduan kelas kedua atas dan kelas kedua bawah yang sebelum ini berpeluang menjadi pegawai tadbir diplomatik dalam perkhidmatan awam,negative,malaya
"Watch your mouth bro, mereka terkecuali daripada politik.",negative,malaya
"Penugasan Sekatan Jalan Raya (SJR) dilaksanakan di Jalan Jerantut - Maran (Simpang Padang Piol) bersama PDRM, ATM, https://t.co/C4uTeXqXP5",neutral,malaya
"COVID-19: 6,239 kes baharu hari ini (9 Jun), Selangor kekal tertinggi dengan 2,291 kes - KP Kesihatan @DGHisham https://t.co/RYNnIYoLkE",neutral,malaya
banyak lagi boleh di senaraikan tentang kejayaan asean,positive,malaya
Berita tersebut adalah palsu yang sengaja diada-adakan dalam usaha untuk menggambarkan bahawa sistem demokrasi di negara kita tidak telus dan tidak,negative,malaya
"hanya royals di johor je yg wonder kenapa bantuan kpd rakyat tak melalui kerajaan negeri, dan keep questioning dia https://t.co/sx7MmIkpRe",negative,malaya
"Klinik menyediakan rawatan asas, membabitkan rawatan penyakit ringan seperti demam, batuk, selesema selain prosedur rawatan cucian luka, ujian makmal ringkas seperti ujian glukos darah kapilari dan ujian air kencing menggunakan 'urine dipstick'",positive,malaya
"Usahlah percaya wayang mereka ini (pembangkang) yang ingin menjadi hero, kononnya boleh bangunkan Kampung Baru dalam sekelip mata",negative,malaya
Sekali lagi keputusan kerajaan tidak berpandaskan kajian saintifik. Varian Delta makin ganas tu. Kalo dah kes naik https://t.co/jwtLXFtSAf,negative,malaya
"Lawatan kerja ke PPV di Kampung Rantau Panjang, Desa Makhota, Kota Tinggi, Johor. Program Outreach Vaksinasi COVID-19 adalah di antara inisiatif kerajaan membantu penduduk luar bandar menerima suntikan vaksin. Terima kasih kpd petugas kesihatan &amp; sukarelawan yg bertugas. https://t.co/L3eDjHgERZ",positive,malaya
"Ketua Bersatu Bahagian Johor Bahru, Abdull Bakar Ali berkata, sayap Wanita bahagian itu berfungsi seperti biasa untuk berkhidmat kepada masyarakat dan parti. #FMTNews #Bersatu #Bubar https://t.co/YuaGe0HAR0",positive,malaya
Bandar Belia akan diwujudkan di tiga buah negeri,positive,malaya
@husnimohdamin Alhamdulillah!,positive,malaya
Hutang negara juga tidak begitu tinggi.,positive,malaya
Ini isu yang perlu diberi perhatian,positive,malaya
