text,label,source
"Que gafe do VídeoShow, colocar uma cena de morte, no dia da morte do Nelson Xavier.  #VideoShowAoVivo",negative,sentiBR_2017
Tapoha q prova difícil #MasterChefBR,neutral,sentiBR_2017
A voz da Vanessa da mata é uma coisa maravilhosa #altasHoras,positive,sentiBR_2017
poooooooorra Mirian deixa o cara abrir a panela  #MasterChefBR,negative,sentiBR_2017
"#MasterChefBR preciso parar de assistir esse programa, a vontade de cursar gastronomia aumenta a cada ep",neutral,sentiBR_2017
A Globo ja pode contratar a Mirian #MasterChefBR,positive,sentiBR_2017
#VideoShowAoVivo @user  que saudades do Wando. Muito romântico!,negative,sentiBR_2017
A Fátima já podia pedir pra o Nando cantar né? #NandoReisNoEncontro #Encontro,neutral,sentiBR_2017
A @user está linda! #encontro,positive,sentiBR_2017
Todo dia é um 7 X 1 diferente...Só TOMBO! #MasterChefBR,negative,sentiBR_2017
"Já, já logo após o #JornalRational no #ProgramaDoRatinho ☺😂, tem #APraçaÉNossa em seguida tem Carlos Alberto no #TheNoite no @user.",neutral,sentiBR_2017
O cabelo dá Ana está maravilhoso #MaisVoce,positive,sentiBR_2017
"gente, q história eh essa q a Ana Luíza foi desclassificada do #MasterChefBR pq já trabalho como profissional????? tava lavando meu cabelo",negative,sentiBR_2017
@user @user @user @user Nossa ontem eu ri tanto com a Yuko do #MasterChefBR com a história do pênis!,neutral,sentiBR_2017
#videoshowaovivo Lindooo o look da Lu Ferreira.. joca e otaaa beijuu😗,positive,sentiBR_2017
"Esses colunistas do UOL adoram o SBT, me poupe darem destaque para o esdrúxulo #TheNoite mau gosto define!",negative,sentiBR_2017
É a @user ou @user no #Encontro?,neutral,sentiBR_2017
"Jacquin é muito fofo, dá vontade de abraçar ele #MasterChefBR",positive,sentiBR_2017
vitor b não pode sair hoje  #MasterChefBR,negative,sentiBR_2017
G1 em 1 minuto no #Encontro,neutral,sentiBR_2017
#VideoShowAoVivo com Fátima Bernardes tudo de bom,positive,sentiBR_2017
EU TÔ CHORANDO  #encontro,negative,sentiBR_2017
Oscarina . Nome diferentao #Encontro,neutral,sentiBR_2017
"Vey quero chegar aos 56 igual a mulher do Nando Reis  Que pelee, que linda #Encontro",positive,sentiBR_2017
Q MANCADA ASSUSTAR AS TIAS DA FAXINA KKKKKKKKKKKKKKKKKK PORRA #TheNoite,negative,sentiBR_2017
"Nossa vem aqui Lutador , aqui coisa de alto valor calórico , não falta ! #MasterChefBR",neutral,sentiBR_2017
"#Encontro Mando nud p meu esposo, mesmo q ele divulgue eu não vejo problemas, afinal eu não mandava pra qualquer um, mandava p meu parceiro",positive,sentiBR_2017
"Eu vou chorar tanto com: ""Aquarela"" tô morrendo desde já   #DomingoLegal",negative,sentiBR_2017
Mônica é mãe da @user kkkkkk todo mundo já sabe  #édecasa,neutral,sentiBR_2017
Amo ouvir Dráuzio #ConversaComBial,positive,sentiBR_2017
Bacuri com tucupi? Bizarro! Kkkkkkkkk #MasterChefBR,negative,sentiBR_2017
#MasterChefBR a abóbora em pauta novamente...kkkk,neutral,sentiBR_2017
AMO Vanessa da Mata #AltasHoras,positive,sentiBR_2017
"Não creio que @user saiu, meu mundo caiu💔😔 #MasterChefBR",negative,sentiBR_2017
#thenoite @user armadilha do the noite captura Carlos Alberto.,neutral,sentiBR_2017
"banana ativa o hormônio da felicidade, por isso eu amo #Encontro",positive,sentiBR_2017
"""Se ela trabalha o problema é dela, ela que contrate uma empregada"" VC TA LOUCO DE DROGA MEU QUERIDO? #Encontro",negative,sentiBR_2017
"""Se você quiser eu vou te dar um amor desses de cinema""🎶 manda prx crush esse trecho #altashoras",neutral,sentiBR_2017
Legal esse final cm tdo mundo da praça e o danilo dançando cm o pessoal do trajavigor vestido dos personagenss da praça tocando #thenoite,positive,sentiBR_2017
Canta pra caralho cala a boca vai toma no cu bicho #ConversaComBial,negative,sentiBR_2017
"Tem @user falando de #MisterBrau Quem atacar, eu vou atacar!  #MaisVoce",neutral,sentiBR_2017
Adorei o rapaz de camisa preta e jaqueta amarradas na cintura. Ele dança so quando o tchan canta. Kkkkkkkkkkkkk... #AltasHoras.,positive,sentiBR_2017
Obrigado #MasterChefBR por mais uma quarta feira cheia de sono 😴😴,negative,sentiBR_2017
"A expressão ""levou o farelo"" não é pq a pessoa se lascou? Kkkkkkkkkkkkk #VideoShowAoVivo",neutral,sentiBR_2017
A RAZÃO DO MEU VIVER COMEÇOOOOOU #MasterChefBR,positive,sentiBR_2017
Todas as novelas que a ingrid Guimarães faz ela está baranga #VideoShowAoVivo,negative,sentiBR_2017
Eu nao assisti essa temporada de #MasterChefBR mas adorei a bee q foi eliminada essa semana usando os memes do #RuPaul,neutral,sentiBR_2017
"Ai gente essa música é a melhor né? #TremBala #PadreFabiodeMelo #ConversacomBial "" Sorria e abrace seus pais enquanto estão aqui..."" s2",positive,sentiBR_2017
Não acredito que time azul perdeu 💔 #MasterChefBR,negative,sentiBR_2017
#Encontro uma piada atrás da outra,neutral,sentiBR_2017
Joca lindo como sempre ❤ Mostra o Look hahahahaha  #VideoShowAoVivo,positive,sentiBR_2017
Pq essa vaca não deixa a criança no chão? Saporra tá causando #encontro Lugar de criança é numa jaula. Mudando de canal. #odeioCrianca,negative,sentiBR_2017
A idade não interfere nada mas sim muitas pessoas que tem preconceito #Encontro,neutral,sentiBR_2017
"De um lado ""É o Tchan"" e do outro ""Vanessa da Mata""... Muito bom! #altashoras #paz",positive,sentiBR_2017
"""É a minha oportunidade de calar a boca desse povo que ta falando que eu não sei trabalhar em grupo"" Não sabe mesmo Leonardo! #MasterChefBR",negative,sentiBR_2017
Ana Paula chegando de fininho para comer o prato da Paola #MasterChefBR,neutral,sentiBR_2017
A Sandy é tão linda que dói de ver #sandy #encontro,positive,sentiBR_2017
AI do #VideoShowAoVivo se nao tiver gravado os bastidores do parto eu nao vou responder por mim sério @user @user,negative,sentiBR_2017
"Imagens raras e inéditas do último aniversário de Hebe, em 8 de março de 2012, no #MaisVocê",neutral,sentiBR_2017
-Posso pegar na sua perna? Namaria representando a minha vontade nesta manhã ^_^#MaisVocê,positive,sentiBR_2017
"#VideoShowAoVivo... Não aguento a chatice da Sophia Abrahão... Está sempre tensa, sorriso artificial, postura contraída e torta... Não dá...",negative,sentiBR_2017
#VideoShowAoVivo PODE FAZER LOOK MASCULINO TBM,neutral,sentiBR_2017
"Nossa Cibele arrasou, no seu casamento #VideoShowAoVivo",positive,sentiBR_2017
"Ai que bosta, de novo matéria de frango a passarinho, pula para os convidados caramba.   #MaisVoce",negative,sentiBR_2017
#TheNoite com Carlos Alberto de Nóbrega no ar! @user,neutral,sentiBR_2017
