text	label
Que gafe do VídeoShow, colocar uma cena de morte, no dia da morte do Nelson Xavier.  #VideoShowAoVivo	negative
Tapoha q prova difícil #MasterChefBR	neutral
A voz da Vanessa da mata é uma coisa maravilhosa #altasHoras	positive
poooooooorra Mirian deixa o cara abrir a panela  #MasterChefBR	negative
#MasterChefBR preciso parar de assistir esse programa, a vontade de cursar gastronomia aumenta a cada ep	neutral
A Globo ja pode contratar a Mirian #MasterChefBR	positive
#VideoShowAoVivo @user  que saudades do Wando. Muito romântico!	negative
A Fátima já podia pedir pra o Nando cantar né? #NandoReisNoEncontro #Encontro	neutral
A @user está linda! #encontro	positive
Todo dia é um 7 X 1 diferente...Só TOMBO! #MasterChefBR	negative
Já, já logo após o #JornalRational no #ProgramaDoRatinho ☺😂, tem #APraçaÉNossa em seguida tem Carlos Alberto no #TheNoite no @user.	neutral
O cabelo dá Ana está maravilhoso #MaisVoce	positive
gente, q história eh essa q a Ana Luíza foi desclassificada do #MasterChefBR pq já trabalho como profissional????? tava lavando meu cabelo	negative
@user @user @user @user Nossa ontem eu ri tanto com a Yuko do #MasterChefBR com a história do pênis!	neutral
#videoshowaovivo Lindooo o look da Lu Ferreira.. joca e otaaa beijuu😗	positive
Esses colunistas do UOL adoram o SBT, me poupe darem destaque para o esdrúxulo #TheNoite mau gosto define!	negative
É a @user ou @user no #Encontro?	neutral
Jacquin é muito fofo, dá vontade de abraçar ele #MasterChefBR	positive
vitor b não pode sair hoje  #MasterChefBR	negative
G1 em 1 minuto no #Encontro	neutral
#VideoShowAoVivo com Fátima Bernardes tudo de bom	positive
EU TÔ CHORANDO  #encontro	negative
Oscarina . Nome diferentao #Encontro	neutral
Vey quero chegar aos 56 igual a mulher do Nando Reis  Que pelee, que linda #Encontro	positive
Q MANCADA ASSUSTAR AS TIAS DA FAXINA KKKKKKKKKKKKKKKKKK PORRA #TheNoite	negative
Nossa vem aqui Lutador , aqui coisa de alto valor calórico , não falta ! #MasterChefBR	neutral
#Encontro Mando nud p meu esposo, mesmo q ele divulgue eu não vejo problemas, afinal eu não mandava pra qualquer um, mandava p meu parceiro	positive
"Eu vou chorar tanto com: ""Aquarela"" tô morrendo desde já   #DomingoLegal"	negative
Mônica é mãe da @user kkkkkk todo mundo já sabe  #édecasa	neutral
Amo ouvir Dráuzio #ConversaComBial	positive
Bacuri com tucupi? Bizarro! Kkkkkkkkk #MasterChefBR	negative
#MasterChefBR a abóbora em pauta novamente...kkkk	neutral
AMO Vanessa da Mata #AltasHoras	positive
Não creio que @user saiu, meu mundo caiu💔😔 #MasterChefBR	negative
#thenoite @user armadilha do the noite captura Carlos Alberto.	neutral
banana ativa o hormônio da felicidade, por isso eu amo #Encontro	positive
"""Se ela trabalha o problema é dela, ela que contrate uma empregada"" VC TA LOUCO DE DROGA MEU QUERIDO? #Encontro"	negative
"""Se você quiser eu vou te dar um amor desses de cinema""🎶 manda prx crush esse trecho #altashoras"	neutral
Legal esse final cm tdo mundo da praça e o danilo dançando cm o pessoal do trajavigor vestido dos personagenss da praça tocando #thenoite	positive
Canta pra caralho cala a boca vai toma no cu bicho #ConversaComBial	negative
