text,label,source
estoy hasta el ojete de que me digáis que tengo cara de mala leche,negative,intertass_2017
@user Por?  Tenía pensado verla después de la segunda de Daredevil,neutral,intertass_2017
Esto de estar feliz mola,positive,intertass_2017
Ya no es tan divertido,negative,intertass_2017
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",neutral,intertass_2017
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,positive,intertass_2017
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,negative,intertass_2017
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,neutral,intertass_2017
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,positive,intertass_2017
"@user ya somos dos, que triste",negative,intertass_2017
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,neutral,intertass_2017
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,positive,intertass_2017
"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",negative,intertass_2017
"@user es chevre las letras!! sabes q dia es mañana,....",neutral,intertass_2017
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,positive,intertass_2017
"Esta ceniza me tiene harta, me arden los ojos",negative,intertass_2017
¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,neutral,intertass_2017
@user No. tampoco soy cursi,positive,intertass_2017
En fin estoy hasta los huevos del 90% de las personas así que.,negative,intertass_2017
"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",neutral,intertass_2017
@user     Ya está preparando cosillas nuevas jeje,positive,intertass_2017
"@user Jo, yo que me había ilusionado",negative,intertass_2017
Si la U cerró todo... entonces yo estoy libre hasta el lunes,neutral,intertass_2017
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,positive,intertass_2017
"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",negative,intertass_2017
@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,neutral,intertass_2017
"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",positive,intertass_2017
Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara,negative,intertass_2017
@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas,neutral,intertass_2017
Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!,positive,intertass_2017
"Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",negative,intertass_2017
como entraba una conversación de estas largas de hablar toda la noche con alguien,neutral,intertass_2017
una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!,positive,intertass_2017
Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,negative,intertass_2017
"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",neutral,intertass_2017
Que dicha que hay trabajo y salud y vacaciones también,positive,intertass_2017
@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño,negative,intertass_2017
"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",neutral,intertass_2017
La pulsera es preciosa tio,positive,intertass_2017
@user es lamentable un tema tan sensible jamás con ese enfoque,negative,intertass_2017
"-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",neutral,intertass_2017
"@user, vaya, felicidades atrasadas y muchas gracias",positive,intertass_2017
"@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden",negative,intertass_2017
"Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres",neutral,intertass_2017
@user Que bonita la gente educada un gran abrazo para vos 🤗,positive,intertass_2017
"@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.",negative,intertass_2017
@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima,neutral,intertass_2017
@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!,positive,intertass_2017
Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,negative,intertass_2017
