text	label
estoy hasta el ojete de que me digáis que tengo cara de mala leche	negative
@user Por?  Tenía pensado verla después de la segunda de Daredevil	neutral
Esto de estar feliz mola	positive
Ya no es tan divertido	negative
@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo	neutral
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli	positive
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.	negative
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo	neutral
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user	positive
@user ya somos dos, que triste	negative
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?	neutral
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico	positive
🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...	negative
@user es chevre las letras!! sabes q dia es mañana,....	neutral
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http	positive
Esta ceniza me tiene harta, me arden los ojos	negative
¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?	neutral
@user No. tampoco soy cursi	positive
En fin estoy hasta los huevos del 90% de las personas así que.	negative
@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio	neutral
@user     Ya está preparando cosillas nuevas jeje	positive
@user Jo, yo que me había ilusionado	negative
Si la U cerró todo... entonces yo estoy libre hasta el lunes	neutral
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...	positive
@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia	negative
@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos	neutral
Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela	positive
Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara	negative
@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas	neutral
Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!	positive
Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo	negative
como entraba una conversación de estas largas de hablar toda la noche con alguien	neutral
una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!	positive
Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida	negative
@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃	neutral
Que dicha que hay trabajo y salud y vacaciones también	positive
@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño	negative
Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados	neutral
La pulsera es preciosa tio	positive
@user es lamentable un tema tan sensible jamás con ese enfoque	negative
-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero	neutral
@user, vaya, felicidades atrasadas y muchas gracias	positive
@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden	negative
"Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres"	neutral
@user Que bonita la gente educada un gran abrazo para vos 🤗	positive
@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.	negative
@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima	neutral
@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!	positive
Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda	negative
Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos	neutral
FF a los geniales de @user !!	positive
"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm"	negative
sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.	neutral
2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos	positive
Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!	negative
Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…	neutral
@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).	positive
Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal	negative
@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.	neutral
@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras	positive
Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro	negative
Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente	neutral
Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos	positive
Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!	negative
"Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui."	neutral
Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http	positive
Cuando pasan de tu p*** cara  😢	negative
@user la divaza te tiene cansado toda la noche no te deja dormir	neutral
Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?	positive
No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo	negative
@user No se , creo que no . Yo solo mire mi fecha	neutral
Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor	positive
@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres	negative
@user hoy tengo libre JAJA , viernes no puedo	neutral
@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...	positive
@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte	negative
ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie	neutral
Sólo la Karlita me entiende y me da buenos consejos	positive
Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas	negative
Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe	neutral
Tengamos un día lleno de magia y lindos momentos	positive
Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate	negative
@user todo lo que sea posible	neutral
Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja	positive
Difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️	negative
cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo	neutral
@user gracias Manuel por este arte de recoger mi texto en tu revista  Un abrazo grande!	positive
Quiero comer algo, aunque estoy llena	negative
No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.	neutral
@user y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel	positive
glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA	negative
Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma	neutral
@user @user @user @user @user Gran capacidad de análisis de @user en esa entrevista. #visión	positive
Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante	negative
Ha ardido una caravana aparcada al lado de la playa   Fuego ya sofocado por los bomberos @… http	neutral
#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @user maricon??	positive
Atm veo los 7 primeros teams un poco lejos de los 3 últimos. A ver que pasa si mejoran y/o cambian sus estrategias etc idk	negative
El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza	neutral
@user Que guapísimo , dejaron mendizorroza, pero San mames ... de los + guapos del MUNDO¡¡ sin duda.(opinión)	positive
Por payasa debo hacer un trabajo grupal para mañana, algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas	negative
Después de siete largos años vuelvo a pasar navidad junto con mi mamá, mi papá y mi hermana. Todos juntos con una yapita de sobrino.	neutral
@user 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨	positive
ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA	negative
@user @user dicen que tira pa, san Mateo ahora Jaaja	neutral
@user @user ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!	positive
@user joder como te entiendo  nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar	negative
Decidido: lanzo canal de YouTube. Con qué canción o con qué tema me aconsejan que empiece?	neutral
Ese aplauso para Diego Luna y Felicity Jones fue estruendoso. Tengo ganas de ver Rogue One y no puedo	positive
Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa	negative
Nicole choteando idiotas desde tiempos inmemorables!	neutral
@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.	positive
@user necesito mi ración de atención diaria que si no no mantengo la autoestima	negative
@user @user Fue la última vez que fuimos al cine	neutral
@user Pero es que está muy rica	positive
@user @user La pena es que no incluya a modo de extra el original. Con el de consola te lo regalaban con el preorder	negative
"Si pudiese cantar bonito no dejaría de hacerlo con ""Come what may"" de Moulin Rouge"	neutral
@user ya mismo seguro! Un abrazo fuerte	positive
Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo	negative
@user lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit	neutral
@user Que bonita zona de entreno escogieron	positive
Creo que voy a ponerme talking to the moon de Bruno Mars porque estoy plof y esa cancion es tan triste que	negative
@user Yo también vi la peli y lloré lo que no está escrito  Ahora estoy leyendo el libro y me estoy echando unas risas impresionantes!	neutral
Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio	positive
#MePasóPorPavazo @user Amigo que guapo eres, mi amiga y yo queremos hacer un trio, y yo todo ganador, Me pepearon @user	negative
@user Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche	neutral
y sin querer me han elevado la barra, para seguir preparandome...waoooo este extraordinario mundo del cafe loveyou️️	positive
Todos queríamos ver las 2 ticas juntas en la final pero así es esto , ahora le toca a lei q avanza a la final #VISSLAISAworldjuniors	negative
Yo sé que estot todo el día diciéndolo peeeero vamos a merendar a algún sitio cuki	neutral
@user no las des preciosa	positive
Bueeeeno... no me siento bien. Gracias playlist por cagarme peor	negative
yo esque los veranos curro, asi que no puedo quedar mucho  pero si algun dia te pasas avisa y vamos a full hd  @user	neutral
No todo es orines y ceniza: hoy vi una niña con patines y casco divirtiéndose en la Plaza de la Cultura, y fue muy lindo	positive
@user  Ahora es Abel quien está resfriado  es lo ke tiene estar juntos todo el tiempo jajaja el curro bien?	negative
@user @user sí, celulares distintos en realidad	neutral
salir de trabajar, mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos¡ planazo de sabado	positive
@user @user Hablaba normal, con alguien, antes de q usted se metiera insultando. Debería tener más educación	negative
¿Nadie quiere hacer de Uber y llevarme hasta Tarrazú?	neutral
@user menos mal que no has dicho escuchal 😂😂😂😂😂 #enlacabezaNo #loSiento	positive
Que ganas tengo de volver a disfruta pronto de él y que lejano lo veo    #SiNoEstás4días	negative
#2017prometoque recuperare estado fisico, seguire amando y respetando a mi @user y veere todos los dias @user	neutral
Que lindo es tener a la viejita en casa, la extrañé en toda sus formas, desde los gritos por el desorden, hasta su sazón en la comida	positive
Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio	negative
@user En cuando era pequeña y bailaba en mi pueblo descalza con un vestido  ¿Tu?	neutral
@user @user Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato	positive
@user ya sé. y con lo mío es especialmente difícil. bro, esto no es exclusivamente sobre la plata u know this	negative
""" Para pasar un día complicado, lo mejor un buen bocado! ""   #FelizLunes #AtariSS #Donosti http http"	neutral
@user Lo mejor de l 2016 fue ver crecer a Ivettly y pasar momentos de alegría y tristeza pero llenos de enseñanzas.	positive
A ver, que necesito para ser streamer y conseguir seguidores? -Cam -Micro -Subir algo decente -Tetas  Me faltan las tetas ya no puedo	negative
@user es lo que tiene ser el mejor	neutral
@user Que tengas un fantástico día Caeli	positive
Mañana vuelvo a trabajar después de 15 días de vacaciones. Donde quedan los 3 meses de verano de pequeños?  #QueDuroEsSerAdulto	negative
@user @user @user es un término coloquial, no un análisis	neutral
@user @user @user Gran programa pero se extraña a Leto !	positive
@user sabran los jueces quê es honestidad? ?..y respeto? ?..no postulaba a un mercado de abastos. .si claro p lo q le interesa	negative
@user Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...	neutral
Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo	positive
¿Habrá algo peor que no traer los audífonos a la chamba? Estoy muriendo lentamente	negative
@user pucha, yo completé el pokedex Perú, solo me faltan los regionales que dudo los consiga y a esperar los legendarios	neutral
Hoy se acaba la fiesta más bonita del año! #últimodíadenavidad #bajadadereyes…	positive
Pobre ilusa yo, pensé que me haríais algo de caso por una vez	negative
@user @user Además cuando dice que se casaría con Ash  o cuando visten de yukata juntos en el festival ayy	neutral
"""No tenemos la sensación de ir a un trabajo"", din os @user  Eu na ofi lendo o @user, tampouco a teño  http"	positive
@user @user @user @user @user @user Triste q nada cambie para las mujeres en política en 30 años	negative
Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe!	neutral
@user Tambien un buen domingo para ti Fercito, y que tengas una linda semana amigo lleno de aventuras , Saludos de mis tías	positive
Yo no me la juego con las mierdas de la suerte, ya tengo muy mala suerte como pa jugarmela	negative
¿Os apetece un directo hablando del partido y un poco de la jornada en general? Si veo muchos likes en este tweet me animo	neutral
@user @user @user las tengo pero aún no las he leído. Caerán prontito	positive
Vengo hasta Carabanchel para estudiar pero la biblioteca esta cerrada	negative
Seré breve: quiero yuquitas y por mi chamba no venden	neutral
@user ¡Enhorabuena! Eres la ganadora del sorteo,escríbenos por mensaje privado para darte el premio	positive
Era a la 6 que me quería levantar, no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo	negative
El era como un profe de ingles gratis para mi , noooooo #VideoMTV2016 @user	neutral
Y se acabó El Oso el Tigre y los demás fue bueno mientras duró	positive
